run,input,success,latency_seconds,error
1,一款开放式运动耳机，支持IP55，续航12小时，面向跑步用户。,True,5.29,
2,一款智能手表，支持心率监测、GPS和睡眠分析，续航7天。,True,6.75,
3,一款运动手环，重量25克，支持计步、血氧和消息提醒。,True,5.7,
4,一款开放式耳夹耳机，支持蓝牙5.4和无线充电。,True,6.87,
5,一款跑步手表，支持双频GPS、路线导航和训练负荷分析。,True,3.61,
6,一款睡眠戒指，可以记录心率、体温趋势和睡眠阶段。,True,4.98,
7,一款游泳耳机，支持IP68，可以离线播放音乐。,True,7.48,
8,一款骨传导耳机，面向骑行场景，支持双设备连接。,True,5.1,
9,一款儿童智能手表，支持定位、通话和电子围栏。,True,6.62,
10,一款健康手环，支持压力监测、睡眠记录和全天心率。,True,4.38,
11,一款运动耳机，官方宣称续航10小时，支持快充。,True,7.01,
12,一款户外手表，支持气压计、指南针和轨迹返航。,True,4.44,
13,一款健身手环，可记录力量训练和有氧训练数据。,True,2.98,
14,一款开放式办公耳机，支持双麦克风通话降噪。,True,5.92,
15,一款智能戒指，重量3克，支持睡眠和恢复状态分析。,True,4.81,
16,一款骑行码表，支持GPS、功率计连接和路线导航。,True,6.23,
17,一款运动手表，支持ECG功能和跌倒检测。,True,5.4,
18,一款耳夹式耳机，单次续航8小时，充电盒总续航32小时。,True,3.66,
19,一款户外运动耳机，支持防水、防汗和实体按键。,True,3.1,
20,一款健康监测设备，可记录静息心率、活动量和睡眠时长。,True,3.63,
